nome;uf;cod_tse;cod_ibge
ALECRIM;RS;85057;4300307
ALEGRETE DO PIAUÍ;PI;10022;2200277
ALEGRETE;RS;85073;4300406
ALEGRE;ES;56030;3200201
ALEGRIA;RS;85545;4300455
ALENQUER;PA;4073;1500404
ALEXANDRIA;RN;16098;2400505
ALEXÂNIA;GO;92053;5200308
ALFENAS;MG;40312;3101607
ALFREDO CHAVES;ES;56057;3200300
ALFREDO MARCONDES;SP;61158;3500808
ALFREDO VASCONCELOS;MG;40002;3101631
ALFREDO WAGNER;SC;80136;4200705
ALGODÃO DE JANDAÍRA;PB;19925;2500577
ALHANDRA;PB;19119;2500601
ALIANÇA DO TOCANTINS;TO;96954;1700350
ALIANÇA;PE;23132;2600708
ALMADINA;BA;33170;2900900
ALMAS;TO;92070;1700400
ALMEIRIM;PA;4090;1500503
ALMENARA;MG;40339;3101706
ALMINO AFONSO;RN;16110;2400604
ALMIRANTE TAMANDARÉ DO SUL;RS;89001;4300471
ALMIRANTE TAMANDARÉ;PR;74071;4100400
ALOÂNDIA;GO;92096;5200506
ALPERCATA;MG;40355;3101805
ALPESTRE;RS;85090;4300505
ALPINÓPOLIS;MG;40371;3101904
ALTA FLORESTA DO OESTE;RO;310;1100015
ALTA FLORESTA;MT;89877;5100250
ALTAIR;SP;61174;3500907
ALTAMIRA DO MARANHÃO;MA;7072;2100402
ALTAMIRA DO PARANÁ;PR;84557;4100459
ALTAMIRA;PA;4111;1500602
ALTANEIRA;CE;13110;2300606
ALTEROSA;MG;40398;3102001
ALTINHO;PE;23159;2600807
ALTINÓPOLIS;SP;61190;3501004
ALTO ALEGRE DO MARANHÃO;MA;7021;2100436
ALTO ALEGRE DO PINDARÉ;MA;7048;2100477
ALTO ALEGRE DOS PARECIS;RO;736;1100379
ALTO ALEGRE;RR;3050;1400050
ALTO ALEGRE;RS;84808;4300554
ALTO ALEGRE;SP;61212;3501103
ALTO ARAGUAIA;MT;90050;5100300
ALTO BELA VISTA;SC;81302;4200754
ALTO BOA VISTA;MT;90042;5100359
ALTO CAPARAÓ;MG;41661;3102050
ALTO DO RODRIGUES;RN;16136;2400703
ALTO FELIZ;RS;86282;4300570
ALTO GARÇAS;MT;90077;5100409
ALTO HORIZONTE;GO;92940;5200555
ALTO JEQUITIBÁ;MG;50695;3153509
ALTO LONGÁ;PI;10057;2200301
ALTO PARAGUAI;MT;90093;5100508
ALTO PARANÁ;PR;74098;4100608
ALTO PARAÍSO DE GOIÁS;GO;92118;5200605
ALTO PARAÍSO;PR;74926;4128625
ALTO PARAÍSO;RO;639;1100403
ALTO PARNAÍBA;MA;7099;2100501
ALTO PIQUIRI;PR;74110;4100707
ALTO RIO DOCE;MG;40410;3102100
ALTO RIO NOVO;ES;56065;3200359
ALTO SANTO;CE;13137;2300705
ALTO TAQUARI;MT;98612;5100607
ALTOS;PI;10073;2200400
ALTÔNIA;PR;79510;4100509
ALUMÍNIO;SP;61220;3501152
ALVARENGA;MG;40436;3102209
ALVARÃES;AM;2895;1300029
ALVINLÂNDIA;SP;61298;3501509
ALVINÓPOLIS;MG;40452;3102308
ALVORADA DE MINAS;MG;40479;3102407
ALVORADA DO GURGUÉIA;PI;12084;2200459
ALVORADA DO NORTE;GO;92150;5200803
ALVORADA DO OESTE;RO;337;1100346
ALVORADA DO SUL;PR;74136;4100806
ALVORADA;RS;85111;4300604
ALVORADA;TO;92134;1700707
ALÉM PARAÍBA;MG;40290;3101508
AMAJARI;RR;3042;1400027
AMAMBAI;MS;90115;5000609
AMAPORÃ;PR;74152;4100905
AMAPÁ DO MARANHÃO;MA;7080;2100550
AMAPÁ;AP;6017;1600105
AMARAJI;PE;23175;2600906
AMARAL FERRADOR;RS;86045;4300638
AMARALINA;GO;93386;5200829
AMARANTE DO MARANHÃO;MA;7110;2100600
AMARANTE;PI;10090;2200509
AMARGOSA;BA;33197;2901007
AMATURÁ;AM;2917;1300060
AMERICANA;SP;61310;3501608
AMERICANO DO BRASIL;GO;96610;5200852
AMETISTA DO SUL;RS;86304;4300646
AMONTADA;CE;15873;2300754
AMORINÓPOLIS;GO;92177;5200902
AMPARO DE SÃO FRANCISCO;SE;31011;2800100
AMPARO DO SERRA;MG;40495;3102506
AMPARO;PB;19585;2500734
AMPARO;SP;61379;3501905
AMPÉRE;PR;74179;4101002
AMÉLIA RODRIGUES;BA;33219;2901106
AMÉRICA DOURADA;BA;30716;2901155
AMÉRICO BRASILIENSE;SP;61336;3501707
AMÉRICO DE CAMPOS;SP;61352;3501806
ANADIA;AL;27030;2700201
ANAGÉ;BA;33235;2901205
ANAHY;PR;74101;4101051
ANAJATUBA;MA;7137;2100709
ANAJÁS;PA;4138;1500701
ANALÂNDIA;SP;61395;3502002
ANAMÃ;AM;2933;1300086
ANANINDEUA;PA;4154;1500800
ANANÁS;TO;92193;1701002
ANAPURUS;MA;7153;2100808
ANAPU;PA;4723;1500859
ANASTÁCIO;MS;90131;5000708
ANAURILÂNDIA;MS;90158;5000807
ANCHIETA;ES;56073;3200409
ANCHIETA;SC;80152;4200804
ANDARAÍ;BA;33251;2901304
ANDIRÁ;PR;74195;4101101
ANDORINHA;BA;33260;2901353
ANDRADAS;MG;40517;3102605
ANDRADINA;SP;61417;3502101
ANDRELÂNDIA;MG;40550;3102803
ANDRÉ DA ROCHA;RS;86100;4300661
ANGATUBA;SP;61433;3502200
ANGELIM;PE;23191;2601003
ANGELINA;SC;80179;4200903
ANGELÂNDIA;MG;41688;3102852
ANGICAL DO PIAUÍ;PI;10111;2200608
ANGICAL;BA;33278;2901403
ANGICOS;RN;16152;2400802
ANGICO;TO;73075;1701051
ANGRA DOS REIS;RJ;58017;3300100
ANGUERA;BA;33294;2901502
ANGÉLICA;MS;91693;5000856
ANHANGUERA;GO;92231;5201207
ANHEMBI;SP;61450;3502309
ANHUMAS;SP;61476;3502408
ANICUNS;GO;92258;5201306
ANITA GARIBALDI;SC;80195;4201000
ANITÁPOLIS;SC;80217;4201109
ANORI;AM;2038;1300102
ANTA GORDA;RS;85138;4300703
ANTAS;BA;33316;2901601
ANTONINA DO NORTE;CE;13153;2300804
ANTONINA;PR;74217;4101200
ANTONIO OLINTO;PR;74233;4101309
ANTÔNIO ALMEIDA;PI;10154;2200806
ANTÔNIO CARDOSO;BA;33332;2901700
ANTÔNIO CARLOS;MG;40576;3102902
ANTÔNIO CARLOS;SC;80233;4201208
ANTÔNIO DIAS;MG;40592;3103009
ANTÔNIO GONÇALVES;BA;33359;2901809
ANTÔNIO JOÃO;MS;90174;5000906
ANTÔNIO MARTINS;RN;16179;2400901
ANTÔNIO PRADO DE MINAS;MG;40614;3103108
ANTÔNIO PRADO;RS;85154;4300802
ANÁPOLIS;GO;92215;5201108
ANÍSIO DE ABREU;PI;10138;2200707
APARECIDA D'OESTE;SP;61514;3502606
APARECIDA DE GOIÂNIA;GO;92274;5201405
APARECIDA DO RIO DOCE;GO;93009;5201454
APARECIDA DO RIO NEGRO;TO;96970;1701101
APARECIDA DO TABOADO;MS;90190;5001003
APARECIDA;PB;19844;2500775
APARECIDA;SP;61492;3502507
APERIBÉ;RJ;58181;3300159
APIACÁS;MT;90263;5100805
APIACÁ;ES;56090;3200508
APIAÍ;SP;61530;3502705
APICUM-AÇU;MA;7064;2100832
APIÚNA;SC;80063;4201257
APODI;RN;16195;2401008
APORÁ;BA;33375;2901908
APORÉ;GO;92290;5201504
APUAREMA;BA;33405;2901957
APUCARANA;PR;74250;4101408
APUIARÉS;CE;13170;2300903
APUÍ;AM;2003;1300144
AQUIDABÃ;SE;31038;2800209
AQUIDAUANA;MS;90212;5001102
AQUIRAZ;CE;13196;2301000
ARABUTÃ;SC;80489;4201273
ARACAJU;SE;31054;2800308
ARACATI;CE;13218;2301109
ARACATU;BA;33391;2902005
ARACITABA;MG;40657;3103306
ARACI;BA;33413;2902104
ARACOIABA;CE;13234;2301208
ARACRUZ;ES;56111;3200607
ARAGARÇAS;GO;92339;5201702
ARAGOIÂNIA;GO;92355;5201801
ARAGOMINAS;TO;73334;1701309
ARAGUACEMA;TO;92371;1701903
ARAGUAIANA;MT;98639;5101001
ARAGUAINHA;MT;90239;5101209
ARAGUANÃ;MA;7102;2100873
ARAGUANÃ;TO;73318;1702158
ARAGUAPAZ;GO;96695;5202155
ARAGUARI;MG;40690;3103504
ARAGUATINS;TO;92436;1702208
ARAGUAÇU;TO;92398;1702000
ARAGUAÍNA;TO;92410;1702109
ARAIOSES;MA;7170;2100907
ARAL MOREIRA;MS;91715;5001243
ARAMARI;BA;33430;2902203
ARAMBARÉ;RS;86320;4300851
ARAME;MA;9679;2100956
ARAMINA;SP;61590;3503000
ARANDU;SP;61611;3503109
ARANTINA;MG;40711;3103603
ARAPEÍ;SP;61646;3503158
ARAPIRACA;AL;27057;2700300
ARAPOEMA;TO;92452;1702307
ARAPONGAS;PR;74276;4101507
ARAPONGA;MG;40738;3103702
ARAPORÃ;MG;40029;3103751
ARAPOTI;PR;74292;4101606
ARAPUTANGA;MT;89893;5101258
ARAPUÁ;MG;40754;3103801
ARAPUÃ;PR;75108;4101655
ARAQUARI;SC;80250;4201307
ARARANGUÁ;SC;80276;4201406
ARARAQUARA;SP;61638;3503208
ARARAS;SP;61654;3503307
ARARA;PB;19178;2500908
ARARENDÁ;CE;13420;2301257
ARARICÁ;RS;88862;4300877
ARARIPE;CE;13250;2301307
ARARIPINA;PE;23213;2601102
ARARI;MA;7196;2101004
ARARUAMA;RJ;58033;3300209
ARARUNA;PB;19194;2501005
ARARUNA;PR;74314;4101705
ARATACA;BA;30732;2902252
ARATIBA;RS;85170;4300901
ARATUBA;CE;13277;2301406
ARATUÍPE;BA;33456;2902302
ARAUCÁRIA;PR;74357;4101804
ARAUÁ;SE;31070;2800407
ARAXÁ;MG;40797;3104007
ARAÇAGI;PB;19151;2500809
ARAÇARIGUAMA;SP;61263;3502754
ARAÇATUBA;SP;61557;3502804
ARAÇAÍ;MG;40630;3103207
ARAÇOIABA DA SERRA;SP;61573;3502903
ARAÇOIABA;PE;23205;2601052
ARAÇUAÍ;MG;40673;3103405
ARAÇU;GO;92312;5201603
ARAÇÁS;BA;33383;2902054
ARAÚJOS;MG;40770;3103900
ARCEBURGO;MG;40819;3104106
ARCO-ÍRIS;SP;62065;3503356
ARCOS;MG;40835;3104205
ARCOVERDE;PE;23230;2601201
AREADO;MG;40851;3104304
AREALVA;SP;61670;3503406
AREAL;RJ;58220;3300225
AREIA BRANCA;RN;16217;2401107
AREIA BRANCA;SE;31097;2800506
AREIA DE BARAÚNAS;PB;19909;2501153
AREIAL;PB;19232;2501203
AREIAS;SP;61697;3503505
AREIA;PB;19216;2501104
AREIÓPOLIS;SP;61719;3503604
ARENÁPOLIS;MT;90255;5101308
ARENÓPOLIS;GO;96717;5202353
ARGIRITA;MG;40878;3104403
ARICANDUVA;MG;41700;3104452
ARINOS;MG;40894;3104502
ARIPUANÃ;MT;90271;5101407
ARIQUEMES;RO;78;1100023
ARIRANHA DO IVAÍ;PR;75086;4101853
ARIRANHA;SP;61735;3503703
ARMAZÉM;SC;80292;4201505
ARMAÇÃO DOS BÚZIOS;RJ;58408;3300233
ARNEIROZ;CE;13293;2301505
AROAZES;PI;10170;2200905
AROEIRAS DO ITAIM;PI;12734;2200954
AROEIRAS;PB;19259;2501302
ARRAIAL DO CABO;RJ;59277;3300258
ARRAIAL;PI;10197;2201002
ARRAIAS;TO;92479;1702406
ARROIO DO MEIO;RS;85197;4301008
ARROIO DO PADRE;RS;89028;4301073
ARROIO DO SAL;RS;85308;4301057
ARROIO DO TIGRE;RS;85235;4301206
ARROIO DOS RATOS;RS;85219;4301107
ARROIO GRANDE;RS;85251;4301305
ARROIO TRINTA;SC;80314;4201604
ARTUR NOGUEIRA;SP;61751;3503802
ARUANÃ;GO;92495;5202502
ARUJÁ;SP;61778;3503901
ARVOREDO;SC;80802;4201653
ARVOREZINHA;RS;85278;4301404
ARÊS;RN;16233;2401206
ASCURRA;SC;80330;4201703
ASPÁSIA;SP;61522;3503950
ASSARÉ;CE;13315;2301604
ASSAÍ;PR;74373;4101903
ASSIS BRASIL;AC;1570;1200054
ASSIS CHATEAUBRIAND;PR;79537;4102000
ASSIS;SP;61794;3504008
ASSUNÇÃO DO PIAUÍ;PI;12106;2201051
ASSUNÇÃO;PB;19321;2501351
ASSÚ;RN;16039;2400208
ASTOLFO DUTRA;MG;40916;3104601
ASTORGA;PR;74390;4102109
ATALAIA DO NORTE;AM;2054;1300201
ATALAIA;AL;27073;2700409
ATALAIA;PR;74411;4102208
ATALANTA;SC;80357;4201802
ATALÉIA;MG;40932;3104700
ATIBAIA;SP;61816;3504107
ATÍLIO VIVÁCQUA;ES;56138;3200706
AUGUSTINÓPOLIS;TO;96857;1702554
AUGUSTO CORRÊA;PA;4170;1500909
AUGUSTO DE LIMA;MG;40959;3104809
AUGUSTO PESTANA;RS;85294;4301503
AURELINO LEAL;BA;33472;2902401
AURIFLAMA;SP;61832;3504206
AURILÂNDIA;GO;92517;5202601
AURORA DO PARÁ;PA;4340;1500958
AURORA DO TOCANTINS;TO;92533;1702703
AURORA;CE;13331;2301703
AURORA;SC;80373;4201901
AUTAZES;AM;2070;1300300
AVANHANDAVA;SP;61875;3504404
AVARÉ;SP;61891;3504503
AVAÍ;SP;61859;3504305
AVEIRO;PA;4197;1501006
AVELINO LOPES;PI;10219;2201101
AVELINÓPOLIS;GO;92550;5202809
AXIXÁ DO TOCANTINS;TO;92576;1702901
AXIXÁ;MA;7218;2101103
AÇAILÂNDIA;MA;9610;2100055
AÇUCENA;MG;40096;3100500
BABAÇULÂNDIA;TO;92592;1703008
BACABAL;MA;7234;2101202
BACABEIRA;MA;7129;2101251
BACURITUBA;MA;7145;2101350
BACURI;MA;7250;2101301
BADY BASSITT;SP;61913;3504602
BAEPENDI;MG;40975;3104908
BAGRE;PA;4219;1501105
BAGÉ;RS;85316;4301602
BAIANÓPOLIS;BA;33499;2902500
BAIXA GRANDE DO RIBEIRO;PI;10049;2201150
BAIXA GRANDE;BA;33510;2902609
BAIXIO;CE;13358;2301802
BAIXO GUANDU;ES;56154;3200805
BAIÃO;PA;4235;1501204
BALBINOS;SP;61930;3504701
BALDIM;MG;40991;3105004
BALIZA;GO;92614;5203104
BALNEÁRIO ARROIO DO SILVA;SC;81728;4201950
BALNEÁRIO BARRA DO SUL;SC;80683;4202057
BALNEÁRIO CAMBORIÚ;SC;80390;4202008
BALNEÁRIO GAIVOTA;SC;81744;4202073
BALNEÁRIO PINHAL;RS;88927;4301636
BALNEÁRIO PIÇARRAS;SC;82511;4212809
BALNEÁRIO RINCÃO;SC;83909;4220000
BALSA NOVA;PR;74438;4102307
BALSAS;MA;7277;2101400
BAMBUÍ;MG;41017;3105103
BANABUIÚ;CE;13382;2301851
BANANAL;SP;61972;3504909
BANANEIRAS;PB;19313;2501500
BANDEIRA DO SUL;MG;41050;3105301
BANDEIRANTES DO TOCANTINS;TO;73580;1703057
BANDEIRANTES;MS;90298;5001508
BANDEIRANTES;PR;74454;4102406
BANDEIRANTE;SC;81582;4202081
BANDEIRA;MG;41033;3105202
BANNACH;PA;4588;1501253
BANZAÊ;BA;33529;2902658
BARAÚNA;PB;19305;2501534
BARAÚNA;RN;30031;2401453
BARBACENA;MG;41114;3105608
BARBALHA;CE;13374;2301901
BARBOSA FERRAZ;PR;74470;4102505
BARBOSA;SP;61999;3505104
BARCARENA;PA;4251;1501303
BARCELONA;RN;16292;2401503
BARCELOS;AM;2097;1300409
BARIRI;SP;62030;3505203
BARRA BONITA;SC;81760;4202099
BARRA BONITA;SP;62057;3505302
BARRA D'ALCÂNTARA;PI;10600;2201176
BARRA DA ESTIVA;BA;33553;2902807
BARRA DE GUABIRABA;PE;23256;2601300
BARRA DE SANTA ROSA;PB;19330;2501609
BARRA DE SANTANA;PB;19780;2501575
BARRA DE SANTO ANTÔNIO;AL;27090;2700508
BARRA DE SÃO FRANCISCO;ES;56170;3200904
BARRA DE SÃO MIGUEL;AL;27111;2700607
BARRA DE SÃO MIGUEL;PB;19356;2501708
BARRA DO BUGRES;MT;90336;5101704
BARRA DO CHAPÉU;SP;61360;3505351
BARRA DO CHOÇA;BA;33570;2902906
BARRA DO CORDA;MA;7315;2101608
BARRA DO GARÇAS;MT;90352;5101803
BARRA DO GUARITA;RS;86363;4301859
BARRA DO JACARÉ;PR;74519;4102703
BARRA DO MENDES;BA;33596;2903003
BARRA DO OURO;TO;73610;1703073
BARRA DO PIRAÍ;RJ;58050;3300308
BARRA DO QUARAÍ;RS;88625;4301875
BARRA DO RIBEIRO;RS;85375;4301909
BARRA DO RIO AZUL;RS;86380;4301925
BARRA DO ROCHA;BA;33618;2903102
BARRA DO TURVO;SP;62073;3505401
BARRA DOS COQUEIROS;SE;31119;2800605
BARRA FUNDA;RS;86401;4301958
BARRA LONGA;MG;41130;3105707
BARRA MANSA;RJ;58076;3300407
BARRA VELHA;SC;80411;4202107
BARRACÃO;PR;74497;4102604
BARRACÃO;RS;85359;4301800
BARRAS;PI;10235;2201200
BARRA;BA;33537;2902708
BARREIRAS DO PIAUÍ;PI;10251;2201309
BARREIRAS;BA;33634;2903201
BARREIRA;CE;13129;2301950
BARREIRINHAS;MA;7331;2101707
BARREIRINHA;AM;2119;1300508
BARREIROS;PE;23272;2601409
BARRETOS;SP;62090;3505500
BARRINHA;SP;62111;3505609
BARRO ALTO;BA;30759;2903235
BARRO ALTO;GO;92630;5203203
BARRO DURO;PI;10278;2201408
BARRO PRETO;BA;33650;2903300
BARROCAS;BA;30775;2903276
BARROLÂNDIA;TO;96997;1703107
BARROQUINHA;CE;13404;2302057
BARROS CASSAL;RS;85391;4302006
BARROSO;MG;41173;3105905
BARRO;CE;13390;2302008
BARUERI;SP;62138;3505708
BARÃO DE ANTONINA;SP;62014;3505005
BARÃO DE COCAIS;MG;41076;3105400
BARÃO DE COTEGIPE;RS;85332;4301701
BARÃO DE GRAJAÚ;MA;7293;2101509
BARÃO DE MELGAÇO;MT;90310;5101605
BARÃO DE MONTE ALTO;MG;41092;3105509
BARÃO DO TRIUNFO;RS;86347;4301750
BARÃO;RS;86223;4301651
BASTOS;SP;62154;3505807
BATAGUASSU;MS;90379;5001904
BATALHA;AL;27138;2700706
BATALHA;PI;10294;2201507
BATATAIS;SP;62170;3505906
BATAYPORÃ;MS;90395;5002001
BATURITÉ;CE;13412;2302107
BAURU;SP;62197;3506003
BAYEUX;PB;19372;2501807
BAÍA DA TRAIÇÃO;PB;19291;2501401
BAÍA FORMOSA;RN;16276;2401404
BEBEDOURO;SP;62219;3506102
BEBERIBE;CE;13439;2302206
BELA CRUZ;CE;13455;2302305
BELA VISTA DA CAROBA;PR;75124;4102752
BELA VISTA DE GOIÁS;GO;92657;5203302
BELA VISTA DE MINAS;MG;41190;3106002
BELA VISTA DO MARANHÃO;MA;7188;2101772
BELA VISTA DO PARAÍSO;PR;74535;4102802
BELA VISTA DO PIAUÍ;PI;10626;2201556
BELA VISTA DO TOLDO;SC;81221;4202131
BELA VISTA;MS;90417;5002100
BELFORD ROXO;RJ;58041;3300456
BELMIRO BRAGA;MG;41211;3106101
BELMONTE;BA;33677;2903409
BELMONTE;SC;80748;4202156
BELO CAMPO;BA;33693;2903508
BELO HORIZONTE;MG;41238;3106200
BELO JARDIM;PE;23337;2601706
BELO MONTE;AL;27170;2700904
BELO ORIENTE;MG;41254;3106309
BELO VALE;MG;41270;3106408
BELTERRA;PA;4804;1501451
BELÁGUA;MA;7161;2101731
BELÉM DE MARIA;PE;23299;2601508
BELÉM DE SÃO FRANCISCO;PE;23310;2601607
BELÉM DO BREJO DO CRUZ;PB;19410;2502003
BELÉM DO PIAUÍ;PI;12335;2201572
BELÉM;AL;27154;2700805
BELÉM;PA;4278;1501402
BELÉM;PB;19399;2501906
BENEDITINOS;PI;10316;2201606
BENEDITO LEITE;MA;7358;2101806
BENEDITO NOVO;SC;80438;4202206
BENEVIDES;PA;4294;1501501
BENJAMIN CONSTANT DO SUL;RS;88420;4302055
BENJAMIN CONSTANT;AM;2135;1300607
BENTO DE ABREU;SP;62235;3506201
BENTO FERNANDES;RN;16314;2401602
BENTO GONÇALVES;RS;85413;4302105
BEQUIMÃO;MA;7374;2101905
BERILO;MG;41297;3106507
BERIZAL;MG;41726;3106655
BERNARDINO BATISTA;PB;19500;2502052
BERNARDINO DE CAMPOS;SP;62251;3506300
BERNARDO DO MEARIM;MA;7200;2101939
BERNARDO SAYÃO;TO;92002;1703206
BERTIOGA;SP;61280;3506359
BERTOLÍNIA;PI;10332;2201705
BERTÓPOLIS;MG;41319;3106606
BERURI;AM;2950;1300631
BETIM;MG;41335;3106705
BETÂNIA DO PIAUÍ;PI;12122;2201739
BETÂNIA;PE;23353;2601805
BEZERROS;PE;23370;2601904
BIAS FORTES;MG;41351;3106804
BICAS;MG;41378;3106903
BIGUAÇU;SC;80454;4202305
BILAC;SP;62278;3506409
BIQUINHAS;MG;41394;3107000
BIRIGUI;SP;62294;3506508
BIRITIBA MIRIM;SP;62316;3506607
BIRITINGA;BA;33715;2903607
BITURUNA;PR;74551;4102901
BLUMENAU;SC;80470;4202404
BOA ESPERANÇA DO IGUAÇU;PR;74144;4103024
BOA ESPERANÇA DO SUL;SP;62332;3506706
BOA ESPERANÇA;ES;56197;3201001
BOA ESPERANÇA;MG;41416;3107109
BOA ESPERANÇA;PR;74578;4103008
BOA HORA;PI;10669;2201770
BOA NOVA;BA;33731;2903706
BOA SAÚDE;RN;17035;2405306
BOA VENTURA DE SÃO ROQUE;PR;75140;4103040
BOA VENTURA;PB;19437;2502102
BOA VIAGEM;CE;13471;2302404
BOA VISTA DA APARECIDA;PR;79812;4103057
BOA VISTA DAS MISSÕES;RS;86428;4302154
BOA VISTA DO BURICÁ;RS;85430;4302204
BOA VISTA DO CADEADO;RS;89044;4302220
BOA VISTA DO GURUPI;MA;7323;2101970
BOA VISTA DO INCRA;RS;89060;4302238
BOA VISTA DO RAMOS;AM;2976;1300680
BOA VISTA DO SUL;RS;88161;4302253
BOA VISTA DO TUPIM;BA;33758;2903805
BOA VISTA;PB;19941;2502151
BOA VISTA;RR;3018;1400100
BOCA DA MATA;AL;27197;2701001
BOCA DO ACRE;AM;2151;1300706
BOCAINA DE MINAS;MG;41432;3107208
BOCAINA DO SUL;SC;81280;4202438
BOCAINA;PI;10359;2201804
BOCAINA;SP;62359;3506805
BOCAIÚVA DO SUL;PR;74594;4103107
BOCAIÚVA;MG;41459;3107307
BODOCÓ;PE;23396;2602001
BODOQUENA;MS;98019;5002159
BODÓ;RN;16101;2401651
BOFETE;SP;62375;3506904
BOITUVA;SP;62391;3507001
BOM CONSELHO;PE;23418;2602100
BOM DESPACHO;MG;41475;3107406
BOM JARDIM DA SERRA;SC;83895;4202503
BOM JARDIM DE GOIÁS;GO;92673;5203401
BOM JARDIM DE MINAS;MG;41491;3107505
BOM JARDIM;MA;9555;2102002
BOM JARDIM;PE;23434;2602209
BOM JARDIM;RJ;58092;3300506
BOM JESUS DA LAPA;BA;33774;2903904
BOM JESUS DA PENHA;MG;41513;3107604
BOM JESUS DA SERRA;BA;33782;2903953
BOM JESUS DAS SELVAS;MA;7269;2102036
BOM JESUS DE GOIÁS;GO;92690;5203500
BOM JESUS DO AMPARO;MG;41530;3107703
BOM JESUS DO ARAGUAIA;MT;90905;5101852
BOM JESUS DO GALHO;MG;41556;3107802
BOM JESUS DO ITABAPOANA;RJ;58114;3300605
BOM JESUS DO NORTE;ES;56219;3201100
BOM JESUS DO OESTE;SC;81469;4202578
BOM JESUS DO SUL;PR;75167;4103156
BOM JESUS DO TOCANTINS;PA;4049;1501576
BOM JESUS DO TOCANTINS;TO;73121;1703305
BOM JESUS DOS PERDÕES;SP;62413;3507100
BOM JESUS;PB;19453;2502201
BOM JESUS;PI;10375;2201903
BOM JESUS;RN;16330;2401701
BOM JESUS;RS;85456;4302303
BOM JESUS;SC;81388;4202537
BOM LUGAR;MA;7285;2102077
BOM PRINCÍPIO DO PIAUÍ;PI;10065;2201919
BOM PRINCÍPIO;RS;98230;4302352
BOM PROGRESSO;RS;86444;4302378
BOM REPOUSO;MG;41572;3107901
BOM RETIRO DO SUL;RS;85472;4302402
BOM RETIRO;SC;80497;4202602
BOM SUCESSO DE ITARARÉ;SP;61786;3507159
BOM SUCESSO DO SUL;PR;74160;4103222
BOM SUCESSO;MG;41599;3108008
BOM SUCESSO;PB;19470;2502300
BOM SUCESSO;PR;74616;4103206
BOMBINHAS;SC;80985;4202453
BONFIM DO PIAUÍ;PI;10081;2201929
BONFIM;MG;41610;3108107
BONFIM;RR;3077;1400159
BONFINÓPOLIS DE MINAS;MG;41637;3108206
BONFINÓPOLIS;GO;92029;5203559
BONINAL;BA;33790;2904001
BONITO DE MINAS;MG;41742;3108255
BONITO DE SANTA FÉ;PB;19496;2502409
BONITO;BA;33804;2904050
BONITO;MS;90433;5002209
BONITO;PA;4316;1501600
BONITO;PE;23450;2602308
BONÓPOLIS;GO;93408;5203575
